MasterIndex,Patent,IssueDate,AppDate,OrigAppDate,ReissueOf,Renewal,Continuation,Division,Class,Subclass,OtherClasses,IPCCodes,Claims,NumInventors,FirstInventor,InvCity,InvState,InvCountry,Assignee,AssCity,AssState,AssCountry,NumRefs,NumUSRefs,NumUtilityRefs,NumDesignRefs,NumPlantRefs,NumReissueRefs,NumForReferences,OCPDate,MCPDate,USPQDocketNum,DJ,PatDef,DCPub,DCEdition,DCVolume,DCPage,DCNumPatents,DCDecision,DCState,District,CAFCEra,DistDate,Patentee,AllegInf,AllegInf2,ACPub,ACEdition,ACVolume,ACPage,ACNumPatents,FirstAC,ACDate,Affirmed,ACDecision,DC2ndDecDate,DC2ndCite,DC2ndDec,AC2ndDecDate,AC2ndCite,AC2ndDecision
8996,RE20873,10/4/38,7/20/38,7/26/28,1769947,0,0,0,174,665,174/83; 285/206,H02G,3,1,"Fullman, James M. G.",Sewickley,PA,US,National Electric Products Corporation,na,na,omitted,na,na,na,na,na,na,na,na,na,400,0,0,1,1,44,591,1,INV,PA,WD,0,2/28/40,The Thomas & Betts Co. et al.,Steel City Electric Co.,none,1,1,50,230,1,3,6/30/41,1,affirmed,na,na,na,na,na,na
8997,RE20939,12/6/38,4/30/34,4/26/27,1856720,0,0,0,431,168,none,F23D,14,1,"Meikle, George Stanley",West Lafayette,IN,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,6653,0,0,1,1,53,453,2,INV,MI,ED,0,4/15/42,Meikle,The Timken-Detroit Axle Co.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
8998,RE20942,12/6/38,4/27/38,3/5/36,2051322,0,0,0,2,146,none,A41D,7,1,"Weisbaum, Jack",Cincinnati,OH,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,443,0,0,1,1,45,645,1,V&I,OH,SD,0,6/1/40,Weisbaum,"Weller et al., d/b/a Weller-Stolz Co.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
8999,RE20942,12/6/38,4/27/38,3/5/36,2051322,0,0,0,2,146,none,A41D,7,1,"Weisbaum, Jack",Cincinnati,OH,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,446,0,0,1,1,45,657,1,V&I,OH,SD,0,6/1/40,Weisbaum,"Gerlach et al., d/b/a Gerlach Clothing",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9000,RE20945,12/13/38,8/18/37,5/7/27,1707594,0,0,0,315,392,315/170; 315/173; 324/121R; 331/129; 331/131; 331/140,G01R,13,1,"Bedell, Frederick",Ithaca,NY,US,General Radio Company,Cambridge,MA,US,na,na,na,na,na,na,na,na,na,1214,0,0,1,1,49,300,1,V&I,DE,na,0,4/11/41,General Radio Co.,"Allen B. DuMont Laboratories, Inc.",none,1,1,53,490,1,3,5/12/42,0,rev(INV),na,na,na,na,na,na
9001,RE20969,1/3/39,4/1/38,1/13/34,2066302,0,0,0,530,387.1,34/287; 436/547; 530/389.4; 530/389.5; 62/1; 62/100,C07K,13,1,"Reichel, John",Wynnewood,PA,US,"Sharpe & Dohme, Incorporated",Philadelphia,PA,US,na,na,na,na,na,na,na,na,na,26970-R,0,0,1,1,79,1,3,V&I,CA,ND,0,8/9/48,Lyophile-Cryochem Corp. et al.,"Cutter Laboratories, Inc.",none,1,1,84,54,2,9,12/27/49,1,affirmed,na,na,na,na,na,na
9002,RE20975,1/10/39,5/5/38,11/25/35,2098705,0,0,0,52,76,49/38; D25/57,E04F 10/00; E04F 10/10,19,1,"Houseman, George",Shreveport,LA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,1,1,101,31,2,V&I,OH,ND,0,3/18/54,Kool Vent Metal Awning Corp. of America,American Beauty Ventilated Aluminum Awning Co.,none,1,1,107,61,2,6,10/7/55,0,rev(NINF),na,na,na,na,na,na
9003,RE20975,1/10/39,5/5/38,11/25/35,2098705,0,0,0,52,76,49/38; D25/57,E04F 10/00; E04F 10/10,19,1,"Houseman, George",Shreveport,LA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,1,1,105,361,2,INV,MO,ED,0,2/14/55,Koolvent Metal Awning Corp. of America,Kool-Vent Metal Awning Corp. of Mo.,Aluma-Kraft Mfg. Co.,na,unpub,unpub,unpub,unknown,8,unknown,0,~dismissed,na,na,na,na,na,na
9004,RE20996,2/7/39,5/2/38,6/2/33,2044933,0,0,0,172,812,172/831,E02F,29,1,"Buffington, Harry C.",Springfield,IL,US,The Baker Manufacturing Company,Springfield,IL,US,na,na,na,na,na,na,na,na,na,373; 374,0,0,1,1,68,316,3,INV,IL,SD,0,6/23/45,The Baker Manufacturing Co. et al.,Central Illinois Tractor and Equipment Co.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9005,RE21031,3/14/39,12/27/38,10/17/29,1815868,0,0,0,184,6.8,none,F01M,22,1,"Schenk, Martin J.",Chicago,IL,US," Schenck, Martin J.; Picard, R.",Chicago,IL,US,na,na,na,na,na,na,na,na,na,150,0,0,1,1,51,519,1,V&I,CT,na,0,8/7/41,Schenk et al.,United Aircraft Corp.,none,1,1,53,563,1,2,5/28/42,0,rev(INV),na,na,na,na,na,na
9006,RE21038,3/28/39,1/10/39,7/28/32,1958482,0,0,0,337,3,200/38DB; 236/48A; 335/205; 337/347,H01H,24,1,"Leins, Oscar J.",Milwaukee,WI,US,Milwaukee Gas Specialty Company,Milwaukee,WI,US,na,na,na,na,na,na,na,na,na,5293,0,1,1,1,46,23,1,INV,WI,ED,0,6/13/40,Milwaukee Gas Specialty Co.,The Mercoid Corp.,none,1,1,48,672,1,7,3/13/41,1,affirmed,na,na,na,na,na,na
9007,RE21053,4/18/39,2/7/39,2/9/37,2069893,0,0,0,52,76,160/61; 160/83.1; D25/57,E04F,10,1,"Matthews, Albert T.",Silvertown,GA,US,"Matthews, Albert T.; Graham, Thornton G.",Silvertown; Akron,GA; OH,US,na,na,na,na,na,na,na,na,na,291,0,0,1,1,50,199,1,V&I,TX,ND,0,5/31/41,Matthews et al.,"Morten, d/b/a Redwood Awning Co.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9008,RE21053,4/18/39,2/7/39,2/9/37,2069893,0,0,0,52,76,160/61; 160/83.1; D25/57,E04F,10,1,"Matthews, Albert T.",Silvertown,GA,US,"Matthews, Albert T.; Graham, Thornton G.",Silvertown; Akron,GA; OH,US,na,na,na,na,na,na,na,na,na,401,0,0,1,1,58,600,1,V&I,TX,ND,0,2/20/43,Matthews et al.,Agee Venetian Blind Co.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9009,RE21053,4/18/39,2/7/39,2/9/37,2069893,0,0,0,52,76,160/61; 160/83.1; D25/57,E04F,10,1,"Matthews, Albert T.",Silvertown,GA,US,"Matthews, Albert T.; Graham, Thornton G.",Silvertown; Akron,GA; OH,US,na,na,na,na,na,na,na,na,na,2707,0,0,1,1,64,456,1,NINF,GA,ND,0,2/23/45,Matthews et al.,Koolvent Metal Awning Co.,none,1,1,71,219,1,5,11/23/46,0,rev(V&I),na,na,na,na,na,na
9010,RE21053,4/18/39,2/7/39,2/9/37,2069893,0,0,0,52,76,160/61; 160/83.1; D25/57,E04F,10,1,"Matthews, Albert T.",Silvertown,GA,US,"Matthews, Albert T.; Graham, Thornton G.",Silvertown; Akron,GA; OH,US,na,na,na,na,na,na,na,na,na,25242,1,1,1,1,79,146,1,V&I,OH,ND,0,9/23/48,Graham et al.,Koolvent Metal Awning Corp. of America et al.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9011,RE21053,4/18/39,2/7/39,2/9/37,2069893,0,0,0,52,76,160/61; 160/83.1; D25/57,E04F,10,1,"Matthews, Albert T.",Silvertown,GA,US,"Matthews, Albert T.; Graham, Thornton G.",Silvertown; Akron,GA; OH,US,na,na,na,na,na,na,na,na,na,288; 627,0,0,1,1,85,525,1,V&I,NC,WD,0,3/29/49,Matthews et al.,"Allen et al., d/b/a Koolvent Metal Awning Co.; Koolvent Metal Awning Co. of Winston-Salem, Inc.",none,1,1,85,436,1,4,6/8/50,1,Affirmed,na,na,na,na,na,na
9012,RE21053,4/18/39,2/7/39,2/9/37,2069893,0,0,0,52,76,160/61; 160/83.1; D25/57,E04F,10,1,"Matthews, Albert T.",Silvertown,GA,US,"Matthews, Albert T.; Graham, Thornton G.",Silvertown; Akron,GA; OH,US,na,na,na,na,na,na,na,na,na,710,0,0,1,1,88,416,1,V&I,AL,ND,0,12/29/50,National Ventilated Awning Co.,"White, d/b/a Phoenix Manufacturing Co.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9013,RE21053,4/18/39,2/7/39,2/9/37,2069893,0,0,0,52,76,160/61; 160/83.1; D25/57,E04F,10,1,"Matthews, Albert T.",Silvertown,GA,US,"Matthews, Albert T.; Graham, Thornton G.",Silvertown; Akron,GA; OH,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,1,V&I,TX,ND,0,unknown,Matthews et al.,"Miles et al., d/b/a Aetna Aluminum Products",none,1,1,80,1,1,5,12/7/48,1,affirmed,na,na,na,na,na,na
9014,RE21117,6/13/39,1/7/39,10/11/38,2132500,0,0,0,132,264,none,A45D,15,1,"Visitacion, Aniceto R.",New York,NY,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,5-320,0,0,1,1,55,284,2,V&I,NY,SD,0,10/6/42,"Hollywood Comb Curler, Inc. (by change of name, Monogram Mfg. Co.)",The Glemby Co. Inc. et al.,none,1,1,58,443,2,2,7/15/43,1,affirmed,na,na,na,na,na,na
9015,RE21144,7/11/39,3/27/39,1/21/37,2124412,0,0,0,426,109,426/393; 62/460; 62/62,A23B,6,1,"Dodge, Wesley W.",Oakland,CA,US,Paterson Pacific Parchment Co.,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,1,V&I,CA,ND,0,unknown,Paterson Pacific Parchment Co.,"Kalich et al., d/b/a M.L. Kalich & Co.",none,1,1,58,637,1,9,7/30/43,0,rev(INV),na,na,na,na,na,na
9016,RE21178,8/22/39,2/13/39,2/23/34,2072446,0,0,0,62,382,none,F25D,4,1,"Forsthoefel, Gregg F.",Adrian,MI,US,Westinghouse Electric & Manufacturing Company,East Pittsburgh,PA,US,na,na,na,na,na,na,na,na,na,1524,1,1,1,1,59,466,18,INV,PA,WD,0,12/1/43,The Westinghouse Electric and Manufacturing Co.,The Crosley Corp.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9017,RE21184,8/29/39,5/23/39,1/15/38,2142814,0,0,0,2,93,none,A41D,3,1,"Fitch, Albert R.",Summit,NJ,US,"Adirondack Sportswear, Inc.",Amsterdam,NY,US,na,na,na,na,na,na,na,na,na,Jul-69,0,0,1,1,52,17,1,V&I,NY,SD,0,11/26/41,Aronson et al.,"Adirondack Sportwear, Inc., et al.",Marcus Breier's Sons,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9018,RE21186,8/29/39,7/1/39,8/27/28,2044727,0,1,0,222,67,137/179; 137/398; 137/411; 137/630.14; 222/502; 222/72,B67D,20,1,"Griffith, Clement P.",Fort Wayne,IN,US,"S. F. Bowser & Company, Incorporated",Fort Wayne,IN,US,na,na,na,na,na,na,na,na,na,220,0,0,1,1,48,21,2,INV,IL,ND,0,12/12/40,"S.F. Bowser & Co., Inc.",Gilbert & Barker Mfg. Co.,none,1,1,52,150,2,7,1/7/42,1,affirmed,na,na,na,na,na,na
9019,RE21230,10/10/39,2/18/38,1/16/36,2075705,0,0,0,156,583.7,none,B29C,14,1,"Crowley, John C.",Cleveland Heights,OH,US,The Dill Manufacturing Company,Cleveland,OH,US,na,na,na,na,na,na,na,na,na,4478; 4508,0,0,1,1,81,251,3,INV,WI,ED,0,3/4/49,Dill Manufacturing Co.; Van Dyke et al.,J.W. Speaker Corp.,none,1,1,84,309,3,7,1/25/50,1,affirmed,na,na,na,na,na,na
9020,RE21232,10/10/39,2/18/38,1/9/36,2075486,0,0,0,156,583.7,219/243; 219/517,B29C,9,1,"Van Dyke, Henry A.",Philadelphia,PA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,4478; 4508,0,0,1,1,81,251,3,INV,WI,ED,0,3/4/49,Dill Manufacturing Co.; Van Dyke et al.,J.W. Speaker Corp.,none,1,1,84,309,3,7,1/25/50,1,affirmed,na,na,na,na,na,na
9021,RE21236,10/17/39,8/30/36,1/26/34,2027171,0,0,0,184,6,137/624.14,F16N,13,1,"Hillis, David R.",Detroit,MI,US,Trabon Engineering Corporation,Cleveland,OH,US,na,na,na,na,na,na,na,na,na,2530,0,1,1,1,52,425,2,INV,MI,ED,0,2/6/42,Dirkes et al.,Tarbon Engineering Corp.,none,1,1,58,97,1,6,6/4/43,0,rev(V&I),na,na,na,na,na,na
9022,RE21274,11/21/39,7/17/39,2/4/35,2149463,0,0,0,56,10.1,172/41,A01D,8,1,"Orr, John A.",Chicago,IL,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,1248,0,0,1,1,48,506,2,INV,IL,ND,0,2/10/41,Orr,"Skilsaw, Inc.",none,1,1,52,40,2,7,12/19/41,1,affirmed,na,na,na,na,na,na
9023,RE21285,12/5/39,10/5/39,1/12/33,1976986,0,0,0,52,388,none,B44C,9,1,"Desagnat, Gaston",Paris,na,FR,none,na,na,omitted,na,na,na,na,na,na,na,na,na,32-270,0,0,1,1,82,37,2,V&I,NY,SD,0,6/9/49,Desagnat et al.,"Morgan et al., d/b/a Flexible Glass Novelty Co.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9024,RE21289,12/5/39,7/17/39,4/4/36,2153771,0,0,0,56,10.1,none,A01D,5,1,"Orr, John A.",Chicago,IL,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,1248,0,0,1,1,48,506,2,INV,IL,ND,0,2/10/41,Orr,"Skilsaw, Inc.",none,1,1,52,40,2,7,12/19/41,1,affirmed,na,na,na,na,na,na
9025,RE21313,1/2/40,10/5/39,1/12/33,1976986,0,0,0,428,47,428/142; 428/210; 428/440; 428/49,B44C,9,1,"Desagnat, Gaston",Paris,na,FR,none,na,na,omitted,na,na,na,na,na,na,na,na,na,32-270,0,0,1,1,82,37,2,V&I,NY,SD,0,6/9/49,Desagnat et al.,"Morgan et al., d/b/a Flexible Glass Novelty Co.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9026,RE21323,1/16/40,3/9/39,9/22/31,2074698,0,0,0,137,217,137/853; 137/903; 92/243,E03D 3/04; E03D 3/00,15,1,"Langdon, Jesse",Los Angeles,CA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,1,1,122,138,1,INV,NY,ED,0,6/24/59,Eureka Vacuum Breaker Corp,Saltser & Weinsier Inc.,Sloan Valave CO.,1,1,128,512,1,2,3/14/61,1,affirmed,na,na,na,na,na,na
9027,RE21382,3/5/40,6/12/39,1/19/28,1802094,0,0,0,290,55,416/223R,F03D,12,1,"Stuart, Harve R.",Springfield,OH,US,"Fales, Elisha N.",Lake Forest,IL,US,na,na,na,na,na,na,na,na,na,59,1,1,1,1,73,477,1,V&I,OH,SD,0,6/4/47,Fales,Parris-Dunn Corp.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9028,RE21383,3/5/40,12/4/39,10/26/37,2161733,0,0,1,73,152.37,166/250.01; 73/152.52,E21B,11,1,"Walker, Cranford P.",San Marino,CA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,1655-PH,0,0,1,1,59,179,3,V&I,CA,SD,0,4/16/43,Walker et al.,Halliburton Oil Well Cementing Co.,none,1,1,64,278,3,9,12/28/44,0,rev(INV),na,na,na,na,na,na
9029,RE21393,3/12/40,10/9/39,8/5/37,2146022,0,0,0,392,442,392/444; 392/451,F24H,20,1,"Losee, Joseph S.",Hebron,IL,US,Losee Products Company,Hebron,IL,US,na,na,na,na,na,na,na,na,na,687-D,0,0,1,1,83,94,1,INV,IL,ED,0,3/21/49,Losee Products Co.,Black & Co.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9030,RE21420,4/9/40,8/6/37,3/31/23,2010463,0,0,0,315,40,315/108; 315/39.63; 315/54; 315/61,H01J,11,1,"Pratt, Harry Preston",Chicago,IL,US,Pratt Radio Trust,na,na,omitted,na,na,na,na,na,na,na,na,na,217,0,0,1,1,55,263,2,INV,DE,na,0,10/8/42,Allen et al.,"Radio Corp. of America; RCA Manufacturing Co., Inc., intervener",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9031,RE21429,4/16/40,3/31/39,11/23/34,2076385,0,0,0,337,52,337/61; 337/69; 337/75,H01H 73/00; H01H 73/30,25,1,"Peterson, Carl",Morrisville,PA,US,Westinghouse Electric & Mfg Co.,Pittsburgh,PA,US,na,na,na,na,na,na,na,na,na,229-W,0,0,1,1,94,233,7,INV,WV,ND,0,8/4/52,Westinghouse,Bulldog Electric Products Co.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9032,RE21447,5/7/40,10/2/39,11/25/33,2125481,0,0,0,172,812,172/831,E02F,12,1,"Allin, George S.",Seattle,WA,US,"Gar Wood Industries, Inc.",Detroit,MI,US,na,na,na,na,na,na,na,na,na,373; 374,0,0,1,1,68,316,3,INV,IL,SD,0,6/23/45,The Baker Manufacturing Co. et al.,Central Illinois Tractor and Equipment Co.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9033,RE21535,8/20/40,5/29/40,5/28/37,2159417,0,0,0,62,164,62/267; 62/414,F25D,4,1,"Anderson, William B.",West Springfield,MA,US,Westinghouse Electric & Manufacturing Company,East Pittsburgh,PA,US,na,na,na,na,na,na,na,na,na,1524,1,1,1,1,59,466,18,V&I,PA,WD,0,12/1/43,The Westinghouse Electric and Manufacturing Co.,The Crosley Corp.,none,1,1,68,2,9,3,12/14/45,0,rev(INV),na,na,na,na,na,na
9034,RE21611,10/29/40,6/6/40,4/13/37,2119964,0,0,0,38,82,219/256; 38/90,D06F,29,1,"Reichold, Ludwig",Winsted,CT,US,The Winsted Hardware Manufacturing Company,Winsted,CT,US,na,na,na,na,na,na,na,na,na,2-364,0,0,1,1,49,175,1,INV,NY,SD,0,3/28/41,The Winsted Hardware Manufacturing Co.,Samson-United Corp.,none,1,1,60,579,1,2,3/29/44,1,affirmed,na,na,na,na,na,na
9035,RE21615,11/5/40,4/30/40,4/1/36,2157756,0,0,0,604,35,137/497; 604/149,A61M,7,1,"Irwin, Milton",Minneapolis,MN,US,"Irwin, Milton; Berg, Walter G.",Minneapolis,MN,US,na,na,na,na,na,na,na,na,na,884,0,0,1,1,53,418,1,INV,MO,WD,0,4/4/42,Associated Laboratories,Coombs et al.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9036,RE21660,12/17/40,10/21/40,2/19/40,2215284,0,0,0,455,43,333/28R,H04B 14/00,6,1,"Armstrong, Edwin",New York,NY,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,1,1,123,133,3,V&I,NY,SD,0,9/14/59,Estate of Edwin H. Armstrong,Emerson Radio and Phonograph Corp.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9037,RE21660,12/17/40,10/21/40,2/19/40,2215284,0,0,0,455,43,333/28R,H04B 14/00,6,1,"Armstrong, Edwin",New York,NY,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,1,1,141,862,3,V&I,IL,ND,0,5/14/64,Estate of Edwin H. Armstrong,Motorola Inc.,none,1,1,152,535,3,7,2/6/67,1,affirmed,na,na,na,na,na,na
9038,RE21841,6/24/41,6/17/39,11/20/33,2075827,0,0,0,114,309,114/303; 114/305,B63B,18,1,"Northrop, John K.",Los Angeles County,CA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,21982-S,0,0,1,1,58,575,1,NINF,CA,ND,0,8/28/42,"Northill Co., Inc., et al.",Danforth,none,1,1,61,206,1,9,4/11/44,1,affirmed,na,na,na,na,na,na
9039,RE21947,11/18/41,5/11/40,2/6/37,2152899,0,0,0,37,424,192/107C,E02F,8,1,"Maloon, Earl B.",South Pasadena,CA,US,"Southwest Welding and Manufacturing Co., Inc.",Alhambra,CA,US,na,na,na,na,na,na,na,na,na,21891-W,0,0,1,1,58,577,2,INV,CA,ND,0,7/16/43,"R.G. Le Tourneau, Inc.","Gar Wood Industries, Inc.",none,1,1,67,165,2,9,10/18/45,1,affirmed,na,na,na,na,na,na
9040,RE21954,11/25/41,5/24/39,8/14/29,2126787,0,0,0,315,262,315/248; 315/264; 315/282; 315/DIG.1,H01J,49,1,"Le Bel, Clarence J.",New York,NY,US,Raytheon Manufacturing Company,Newton,MA,US,na,na,na,na,na,na,na,na,na,Sep-35,0,1,1,1,61,263,6,INV,NY,SD,0,3/30/44,Hygrade Sylvania Corp. et al.,General Electric Co.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9041,RE21956,11/25/41,8/15/41,5/14/31,1917261,0,0,0,156,96,264/36.14; 425/21,B29D,13,1,"Hawkinson, Paul E.",Minneapolis,MN,US,Paul E. Hawkinson Company,Minneapolis,MN,US,na,na,na,na,na,na,na,na,na,204,0,0,1,1,60,441,2,INV,KY,ED,0,2/24/44,Paul E. Hawkinson Co.,"Wilcoxen, d/b/a Safety Retreading and Vulcanizing Co.",none,1,1,65,444,2,6,5/23/45,0,rev(V&I),na,na,na,na,na,na
9042,RE22045,3/3/42,12/13/41,3/3/38,2258869,0,0,0,222,3,137/68.23; 169/74; 222/402.11; 222/473; 222/509,A62C; F16K,8,1,"Towart, Jr., Archie",West Caldwell,NJ,US,Specialties Development Corporation,Bloomfield,NJ,US,na,na,na,na,na,na,na,na,na,5316,0,1,1,1,80,412,4,INV,NJ,na,0,2/9/49,Specialties Development Corp. et al.,"Randolph Laboratories, Inc.",none,1,1,84,1,4,2,12/20/49,1,affirmed,na,na,na,na,na,na
9043,RE22055,3/24/42,4/24/41,7/3/37,2227815,0,0,0,348,536,331/129; 331/20; 348/E5.012; 348/E5.02; 348/E5.021,H04N 5/12; H04N 5/067,13,1,"Toulon, Pierre",Puteaux,na,FR,Hazeltine Corp.,Jersey City,NJ,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,1,1,103,120,1,V&I,IL,ND,0,6/29/54,Hazeltine Research Inc.,Avco Mfg. Corp.,The Harry Alter Co. Inc.,1,1,107,187,1,7,10/31/55,1,affirmed,na,na,na,na,na,na
9044,RE22073,4/14/42,8/19/41,5/26/34,2170432,0,1,0,75,238,419/15; 75/236; 75/239; 75/242; 75/255,C22C,11,1,"Schwarzkopf, Paul",Yonkers,NY,US,"American Cutting Alloys, Inc.",New York,NY,US,na,na,na,na,na,na,na,na,na,5073,0,0,1,1,79,51,4,NINF,MI,ED,0,9/24/48,"American Cutting Alloys, Inc.","Carboloy Co., Inc.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9045,RE22074,4/14/42,8/19/41,5/26/34,2170433,0,1,0,419,15,419/33; 75/242,C22C,8,1,"Schwarzkopf, Paul",Yonkers,NY,US,"American Cutting Alloys, Inc.",New York,NY,US,na,na,na,na,na,na,na,na,na,606,1,1,1,1,77,78,3,INV,DE,na,0,4/2/48,"American Cutting Alloys, Inc.","Kennametal, Inc.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9046,RE22074,4/14/42,8/19/41,5/26/34,2170433,0,1,0,419,15,419/33; 75/242,C22C,8,1,"Schwarzkopf, Paul",Yonkers,NY,US,"American Cutting Alloys, Inc.",New York,NY,US,na,na,na,na,na,na,na,na,na,5073,0,0,1,1,79,51,4,INV,MI,ED,0,9/24/48,"American Cutting Alloys, Inc.","Carboloy Co., Inc.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9047,RE22091,5/5/42,6/11/41,4/21/32,2238289,0,0,0,52,506.05,219/94,E04F 13/08,13,1,"Rippen, Nicholas",Los Angeles,CA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,1,1,98,211,1,NINF,MA,na,0,6/19/53,Trustees,Bethlehem Steel Co.,none,1,1,100,153,1,1,1/21/54,1,affirmed,na,na,na,na,na,na
9048,RE22113,6/16/42,3/15/40,8/20/34,2111527,0,0,0,15,104.33,none,E03F,11,1,"Blanc, Samuel O.",Des Moines,IA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,262,0,0,1,1,57,454,2,INV,MI,WD,0,5/18/43,Blanc,"Cayo, d/b/a Cayo Electric Sewer Machine",none,1,1,60,89,2,6,12/16/43,0,rev(NINF),na,na,na,na,na,na
9049,RE22113,6/16/42,3/15/40,8/20/34,2111527,0,0,0,15,104.33,none,E03F,11,1,"Blanc, Samuel O.",Des Moines,IA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,219-20,0,0,1,1,58,54,2,V&I,IA,SD,0,5/28/43,Blanc,"Longstaff; Smtih, d/b/a Smith Sewer Service",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9050,RE22113,6/16/42,3/15/40,8/20/34,2111527,0,0,0,15,104.33,none,E03F,11,1,"Blanc, Samuel O.",Des Moines,IA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,2,INV,IL,ND,0,unknown,Blanc,Spartan Tool Co.,none,1,1,77,525,2,7,5/27/48,1,affirmed,na,na,na,na,na,na
9051,RE22164,8/25/42,7/24/40,1/30/35,2145870,0,0,0,137,543,none,F16K 17/04,6,1,"Gentzel, Perry",State College,PA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,2,V&I,NY,SD,0,unknown,Foster Engineering CO. and Perry H. Gentzel,"Manning, Maxwell & Moore Inc.",none,1,1,108,353,2,2,3/1/56,0,rev(INV),na,na,na,na,na,na
9052,RE22166,8/25/42,8/8/41,5/26/34,2122157,0,1,0,75,241,407/119; 419/15; 75/236; 75/242,C22C,17,1,"Schwarzkopf, Paul",Yonkers,NY,US,"The American Cutting Alloys, Inc.",New York,NY,US,na,na,na,na,na,na,na,na,na,606,1,1,1,1,77,78,3,NINF,DE,na,0,4/2/48,"American Cutting Alloys, Inc.","Kennametal, Inc.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9053,RE22166,8/25/42,8/8/41,5/26/34,2122157,0,1,0,75,241,407/119; 419/15; 75/236; 75/242,C22C,17,1,"Schwarzkopf, Paul",Yonkers,NY,US,"The American Cutting Alloys, Inc.",New York,NY,US,na,na,na,na,na,na,na,na,na,5073,0,0,1,1,79,51,4,NINF,MI,ED,0,9/24/48,"American Cutting Alloys, Inc.","Carboloy Co., Inc.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9054,RE22207,10/20/42,8/8/41,5/13/30,1959879,0,1,0,419,15,419/31; 419/33,C22C,8,1,"Schwarzkopf, Paul",Yonkers,NY,US,"The American Cutting Alloys, Inc.",New York,NY,US,na,na,na,na,na,na,na,na,na,606,1,1,1,1,77,78,3,NINF,DE,na,0,4/2/48,"American Cutting Alloys, Inc.","Kennametal, Inc.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9055,RE22207,10/20/42,8/8/41,5/13/30,1959879,0,1,0,419,15,419/31; 419/33,C22C,8,1,"Schwarzkopf, Paul",Yonkers,NY,US,"The American Cutting Alloys, Inc.",New York,NY,US,na,na,na,na,na,na,na,na,na,5073,0,0,1,1,79,51,4,V&I,MI,ED,0,9/24/48,"American Cutting Alloys, Inc.","Carboloy Co., Inc.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
